,frame,id,time
0,0,113602.jpg,1689557448.523817
1,1,,1689557448.5439477
2,2,,1689557448.5644767
3,3,,1689557448.5840209
4,4,,1689557448.6045284
5,5,1480926.jpg,1689557448.625546
6,6,,1689557448.645615
7,7,,1689557448.6642752
8,8,,1689557448.683819
9,9,,1689557448.7039037
10,10,1517039671.8039265.png,1689557448.72442
11,11,,1689557448.7445614
12,12,,1689557448.7647793
13,13,,1689557448.7847795
14,14,,1689557448.804054
15,15,1920-1200-351843.jpg,1689557448.8241332
16,16,,1689557448.8441706
17,17,,1689557448.863946
18,18,,1689557448.8846295
19,19,,1689557448.9041567
20,20,1920-1200-360818.jpg,1689557448.9245236
21,21,,1689557448.9447372
22,22,,1689557448.9647448
23,23,,1689557448.9847717
24,24,,1689557449.0043118
25,25,1920-1200-379572.png,1689557449.0245574
26,26,,1689557449.0445533
27,27,,1689557449.0647082
28,28,,1689557449.0843189
29,29,,1689557449.1044257
30,30,1920-1200-555187.jpg,1689557449.1239266
31,31,,1689557449.1439345
32,32,,1689557449.163834
33,33,,1689557449.1839142
34,34,,1689557449.203833
35,35,1920-1200-606700.jpg,1689557449.2238338
36,36,,1689557449.2438424
37,37,,1689557449.2638333
38,38,,1689557449.2838402
39,39,,1689557449.30384
40,40,238803.jpg,1689557449.3238328
41,41,,1689557449.3438325
42,42,,1689557449.36384
43,43,,1689557449.383841
44,44,,1689557449.4038417
45,45,310208.jpg,1689557449.424273
46,46,,1689557449.4443164
47,47,,1689557449.4644456
48,48,,1689557449.4839537
49,49,,1689557449.5039937
50,50,342360.jpg,1689557449.52458
51,51,,1689557449.5440683
52,52,,1689557449.564111
53,53,,1689557449.5842266
54,54,,1689557449.6042588
55,55,345397.jpg,1689557449.6238413
56,56,,1689557449.6447227
57,57,,1689557449.6642358
58,58,,1689557449.6839883
59,59,,1689557449.704759
60,60,359089.jpg,1689557449.72426
61,61,,1689557449.744259
62,62,,1689557449.7642589
63,63,,1689557449.7842588
64,64,,1689557449.8062613
65,65,376324.jpg,1689557449.8247647
66,66,,1689557449.8447645
67,67,,1689557449.8647673
68,68,,1689557449.8847644
69,69,,1689557449.906831
70,70,379425.jpg,1689557449.9238303
71,71,,1689557449.9438303
72,72,,1689557449.9638302
73,73,,1689557449.983841
74,74,,1689557450.0048335
